market,timeframe,strategy_family,window,session,market_regime,news_event_regime,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
XAUUSD,4H,SUPPORT_RESISTANCE,oos,OVERLAP,TRENDING,UNAVAILABLE,1,-0.0020243353641836,0.0,0.0,0.0020243353641836,-1.0121676820918597,-1.0121676820918597,-1.0121676820918597,7200.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,ASIAN,HIGH_VOLATILITY,UNAVAILABLE,2,-0.0040622009849938,0.0,0.0,0.0040622009849938,-1.0165836873178993,-1.0165836873178993,-1.0165836873178993,840.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,ASIAN,RANGING,UNAVAILABLE,1,-0.0020325510646497,0.0,0.0,0.0020325510646497,-1.0162755323248502,-1.0162755323248502,-1.0162755323248502,1920.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,ASIAN,TRENDING,UNAVAILABLE,3,0.0010165275187521,0.6666666666666666,1.499564178270984,0.0020468013736187,0.170418107715957,0.0508416468235162,0.170418107715957,3760.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,LONDON,LOW_VOLATILITY,UNAVAILABLE,1,0.0029473902310304,1.0,inf,0.0,1.4736951155151958,1.4736951155151958,1.4736951155151958,5760.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,LONDON,TRENDING,UNAVAILABLE,1,-0.0020381175629868,0.0,0.0,0.0020381175629868,-1.0190587814934464,-1.0190587814934464,-1.0190587814934464,1680.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,NEW_YORK,LOW_VOLATILITY,UNAVAILABLE,1,-0.0020314810024754,0.0,0.0,0.0020314810024754,-1.015740501237688,-1.015740501237688,-1.015740501237688,7200.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,NEW_YORK,TRENDING,UNAVAILABLE,1,0.0029528750651719,1.0,inf,0.0,1.4764375325859505,1.4764375325859505,1.4764375325859505,960.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,OVERLAP,HIGH_VOLATILITY,UNAVAILABLE,2,-0.0040437720419718,0.0,0.0,0.0040437720419718,-1.0119670832258203,-1.0119670832258203,-1.0119670832258203,600.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,OVERLAP,RANGING,UNAVAILABLE,1,-0.0020323675964284,0.0,0.0,0.0020323675964284,-1.016183798214214,-1.016183798214214,-1.016183798214214,0.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_1,OVERLAP,TRENDING,UNAVAILABLE,2,0.0009346280706807,0.5,1.4627515117778496,0.0020327809333586,0.235168112506221,0.235168112506221,0.235168112506221,1320.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,ASIAN,LOW_VOLATILITY,UNAVAILABLE,4,0.001769218145037,0.5,1.4340423879859223,0.0020609758558475,0.2225627639932359,0.2244594919114739,0.2225627639932359,1140.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,ASIAN,TRENDING,UNAVAILABLE,4,0.0018219380098369,0.5,1.4473012988499296,0.0020598396736157,0.229158085779409,0.2315789877739362,0.229158085779409,480.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,LONDON,HIGH_VOLATILITY,UNAVAILABLE,2,-0.004068904799793,0.0,0.0,0.004068904799793,-1.0182630434246822,-1.0182630434246822,-1.0182630434246822,1560.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,LONDON,TRENDING,UNAVAILABLE,1,-0.0020344636150189,0.0,0.0,0.0020344636150189,-1.0172318075094524,-1.0172318075094524,-1.0172318075094524,4320.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,NEW_YORK,LOW_VOLATILITY,UNAVAILABLE,1,0.0029573029783638,1.0,inf,0.0,1.4786514891819216,1.4786514891819216,1.4786514891819216,960.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,NEW_YORK,TRENDING,UNAVAILABLE,2,0.0009109221639298,0.5,1.4506135380014136,0.0020348446877959,0.2292321410127731,0.2292321410127731,0.2292321410127731,2760.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,OVERLAP,HIGH_VOLATILITY,UNAVAILABLE,4,-0.0081166988898151,0.0,0.0,0.0081166988898151,-1.017690226569749,-1.0175674283046776,-1.017690226569749,1140.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_2,OVERLAP,TRENDING,UNAVAILABLE,2,0.0009230997600389,0.5,1.4562997806518494,0.0020362446886801,0.2322845011995682,0.2322845011995682,0.2322845011995682,960.0
