strategy_family,variant,window,pair,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_3,GBPUSD,53,-0.02342897546629119,0.3584905660377358,0.706945083274554,0.027476368655632744,-0.22179271713595544,-1.1598813399730503,-0.22179271713595544,49.15094339622642
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_3,USDJPY,49,-0.0346872052994418,0.22448979591836735,0.5805557415826184,0.0346872052994418,-0.35813991645448556,-1.085120874230435,-0.35813991645448556,47.55102040816327
BREAKOUT,ASIAN_RANGE_CLOSE,oos,AUDUSD,562,-0.3966346372065833,0.304270462633452,0.46535515075504386,0.39895975112969756,-0.44797688823767784,-1.1600743193324563,-0.44797688823767784,19.14590747330961
BREAKOUT,ASIAN_RANGE_CLOSE,oos,EURUSD,514,-0.34080913733446305,0.2918287937743191,0.4959466582668933,0.34080913733446305,-0.40393658106712405,-1.105503202974599,-0.40393658106712405,19.173151750972764
BREAKOUT,ASIAN_RANGE_CLOSE,oos,GBPUSD,546,-0.22961850475493228,0.34798534798534797,0.6711763896122869,0.23894221077078115,-0.23741384251705272,-1.0858005957201144,-0.23741384251705272,19.67032967032967
BREAKOUT,ASIAN_RANGE_CLOSE,oos,USDJPY,548,-0.18152341365920954,0.36678832116788324,0.7384547151766132,0.19060862138884616,-0.18128593557238998,-1.0663977322763614,-0.18128593557238998,19.087591240875913
BREAKOUT,ASIAN_RANGE_CLOSE,wf_1,AUDUSD,513,-0.14365508338762345,0.39571150097465885,0.781895172304494,0.15282764362974985,-0.1496387683260092,-1.0910060486674427,-0.1496387683260092,20.71150097465887
BREAKOUT,ASIAN_RANGE_CLOSE,wf_1,EURUSD,573,-0.23887303542851512,0.3525305410122164,0.6735751651257117,0.2430507902022851,-0.2366910547285055,-1.0979955982605352,-0.2366910547285055,17.233856893542757
BREAKOUT,ASIAN_RANGE_CLOSE,wf_1,GBPUSD,550,-0.20617105829579074,0.3472727272727273,0.7034118102914558,0.2091000237438094,-0.20843451951407246,-1.057671410628692,-0.20843451951407246,20.2
BREAKOUT,ASIAN_RANGE_CLOSE,wf_1,USDJPY,534,-0.19923553902400237,0.35580524344569286,0.7074132410144777,0.2122361773625736,-0.20656066590847896,-1.0631908851366831,-0.20656066590847896,17.865168539325843
