market,timeframe,strategy_family,variant,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes,zero_cost_profit_factor,zero_cost_expectancy,oos_return,oos_profit_factor,oos_expectancy,status,reason
AUDUSD,4H,RANGE_MEAN_REVERSION,BB_RSI_RANGE,17,-0.0003096717966718,0.2941176470588235,0.9872690051032854,0.0055307760377495,-0.0074057622692646,-1.0206292515062283,-0.0074057622692646,2738.823529411765,1.0745513824618598,0.0413221698173202,0.0050913565885271,1.8008168278674452,0.3647900719118097,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; walk-forward results unstable; zero-cost edge fails after costs
USDJPY,15M,TREND_CONTINUATION,EMA50_200_PULLBACK,2853,-0.4892997445825335,0.3869610935856992,0.8111211659102949,0.4912452565434661,-0.1164250153202914,-1.0309505358263855,-0.1164250153202914,163.86435331230285,0.9681561005388842,-0.018007184414152,-0.2075801805503598,0.7476553120195748,-0.1613689810498053,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
USDJPY,15M,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,3109,-0.5418858790319685,0.38308137664844,0.8060632465124553,0.5543208916880851,-0.1241405659567075,-1.0397473064710687,-0.1241405659567075,91.03248633000965,1.017233013755752,0.0098807304290793,-0.1852176586025352,0.7946615706188976,-0.1324768924257428,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
USDJPY,15M,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,1871,-0.4652118935904785,0.3666488508818813,0.7550039356661765,0.4666943575197242,-0.1658092426491905,-1.0534621591271631,-0.1658092426491905,56.28006413682522,0.969826664785994,-0.0181053572280245,-0.1580251018612873,0.7467207857533434,-0.1716010504673687,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
USDJPY,15M,SUPPORT_RESISTANCE,HTF_REJECTION,822,-0.1657672062418412,0.4014598540145985,0.8144939793651851,0.1720165460057742,-0.1089849521436709,-1.0259706285282146,-0.1089849521436709,198.04744525547449,0.9622468468908578,-0.020480226492411,-0.06490879799377,0.7545372887335396,-0.1472330361483687,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
USDJPY,15M,RANGE_MEAN_REVERSION,BB_RSI_RANGE,130,-0.0405957102703159,0.3384615384615385,0.7628888564304647,0.0468378122751845,-0.1577544609728716,-1.0386404864132208,-0.1577544609728716,99.46153846153848,0.8596582941045261,-0.0871212573154231,-0.0264563062082072,0.5074052045497023,-0.3814007690380565,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
USDJPY,30M,TREND_CONTINUATION,EMA50_200_PULLBACK,1960,-0.2576596411064753,0.4035714285714286,0.874739520223687,0.2713119789374825,-0.0746617313322297,-1.0226072364204517,-0.0746617313322297,351.6887755102041,0.9838057069682538,-0.0091085011328962,-0.0784130616302742,0.8664836599053587,-0.0806220317988782,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
USDJPY,30M,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,3104,-0.4545516905344472,0.389819587628866,0.8426556845182653,0.4636788121182432,-0.0962758524701542,-1.0265284240021433,-0.0962758524701542,252.69974226804123,0.9752229547235866,-0.0141260622668311,-0.1862604338745522,0.7848974330587222,-0.1344397692575571,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
USDJPY,30M,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,1286,-0.2235264507721386,0.3880248833592535,0.8483368643874054,0.2273711590211402,-0.0969160534274984,-1.0356391969281271,-0.0969160534274984,123.6625194401244,0.9883718625505744,-0.0068730892294745,-0.0302549210642761,0.9189738054622776,-0.0492670828367266,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
USDJPY,30M,SUPPORT_RESISTANCE,HTF_REJECTION,414,-0.0733282693015326,0.4009661835748792,0.8451385567252144,0.1056956892915211,-0.0906895068291288,-1.0207737513553554,-0.0906895068291288,384.4927536231884,0.9465545342531236,-0.0294901995155037,-0.013565938087595,0.9031581538392722,-0.0542515303364415,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
